URL,TITLE
https://www.rbc.ru/business/08/10/2022/634139269a79479a6431ead3,"
                    Туроператоры оценили возможное количество туристов в Крыму

                "
https://www.rbc.ru/business/08/10/2022/633ec7bf9a79476fa8dc87b7,"
                    Компания Абрамовича купила здание столовой дома Наркомфина

                "
https://www.rbc.ru/business/08/10/2022/633ff8b19a7947438be1d505,"
                    ЕС запретил ввоз пластмассы из России почти на $1 млрд

                "
https://www.rbc.ru/business/07/10/2022/634071ec9a79476fbc25d962,"
                    Путин отстранил «дочку» ExxonMobil от проекта «Сахалин-1»

                "
https://www.rbc.ru/business/07/10/2022/634021de9a794755d68188a5,"
                    «Кузбассразрезуголь» рассказал о проблемах с платежами от экспорта

                "
https://www.rbc.ru/business/07/10/2022/63400af09a79474c7e50e905,"
                    Производитель бумаги SvetoCopy продал бизнес в России

                "
https://www.rbc.ru/business/07/10/2022/634010ba9a79474e7198d96e,"
                    «Северсталь» опровергла передачу доли Мордашова в пользу ООН

                "
https://www.rbc.ru/business/07/10/2022/633ffed69a794746b18b0a30,"
                    Новым владельцем Lamoda станет собственник универмагов «Стокманн»

                "
https://www.rbc.ru/business/07/10/2022/633ee8199a79477f6597fd16,"
                    Власти обсудят новую программу по замене электротранспорта на ₽500 млрд

                "
https://www.rbc.ru/business/07/10/2022/6336efb89a7947f1958af751,"
                    Переориентация на внутренний рынок: новые реалии мебельной отрасли России

                "
https://www.rbc.ru/economics/08/10/2022/634140be9a79479c4c7a4188,"
                    Министр заявил, что запустить паромы в Крым в субботу не позволит погода

                "
https://www.rbc.ru/economics/08/10/2022/634135339a794798e76ecd97,"
                    Севастополь вслед за Крымом ввел ограничение на продажу бакалеи

                "
https://www.rbc.ru/economics/07/10/2022/634055969a7947685a82bc29,"
                    Фурам из ЕС разрешили перевозить грузы в Белоруссии

                "
https://www.rbc.ru/economics/07/10/2022/63402b699a794759aa271b77,"
                    Цены в России выросли впервые за четыре месяца

                "
https://www.rbc.ru/economics/07/10/2022/633fa8639a794725558d2b83,"
                    «Коммерсантъ» узнал об афере на ₽160 млн при создании игрушечного поезда

                "
https://www.rbc.ru/rbcfreenews/633efee09a794700daf272f7,"
                    Ефимов озвучил планы строительства в рамках комплексного развития в СВАО

                "
https://www.rbc.ru/economics/07/10/2022/633e94809a79475aa5d84f00,"
                    Эксперты оценили потери ушедших из России компаний в $240 млрд

                "
https://www.rbc.ru/economics/06/10/2022/633f1fcd9a79470b6cdd4cbd,"
                    В Белоруссии ввели мораторий на повышение цен

                "
https://www.rbc.ru/economics/06/10/2022/633eeacc9a794780746bb703,"
                    Байден заявил о разочаровании решением ОПЕК+ по квотам на добычу нефти

                "
https://www.rbc.ru/economics/06/10/2022/633ecf3c9a7947765a52f3a3,"
                    Reuters узнал о предложении группы стран ЕС ввести «коридор цен» на газ

                "
